GMT,X,Y,Z,Temperature
2023-11-25 11:42,-2,1,-24,10.5
2023-11-25 11:42,-3,1,-22,10.5
2023-11-25 11:42,-3,1,-22,10.5
2023-11-25 11:42,-3,3,-22,10.5
2023-11-25 11:42,-6,4,-22,10.5
2023-11-25 11:42,-2,1,-25,10.5
2023-11-25 11:42,-5,7,-21,10.5
2023-11-25 11:43,-2,-1,-22,10.5
2023-11-25 11:43,-4,4,-23,10.5
2023-11-25 11:43,-3,6,-22,10.5
2023-11-25 11:43,-1,-1,-24,10.5
2023-11-25 11:43,-2,3,-20,10.5
2023-11-25 11:43,0,3,-21,10
2023-11-25 11:43,-1,3,-23,10
2023-11-25 11:43,-5,3,-21,10
2023-11-25 11:43,-5,3,-21,10
2023-11-25 11:43,-5,6,-22,10
2023-11-25 11:43,-7,4,-23,10
2023-11-25 11:43,-5,3,-22,10
2023-11-25 11:43,-2,4,-22,10.5
2023-11-25 11:43,-2,2,-23,10.5
2023-11-25 11:43,-3,3,-22,10.5
2023-11-25 11:43,-3,4,-23,10.5
2023-11-25 11:43,-5,1,-22,10.5
2023-11-25 11:43,-6,7,-23,10.5
2023-11-25 11:43,-2,3,-22,10.5
2023-11-25 11:43,-3,5,-21,10.5
2023-11-25 11:43,-1,0,-23,10.5
2023-11-25 11:43,-3,5,-22,10.5
2023-11-25 11:43,-4,2,-22,10.5
2023-11-25 11:43,-5,3,-21,10.5
2023-11-25 11:43,-4,5,-22,10.5
2023-11-25 11:43,-4,1,-25,10.5
2023-11-25 11:43,-5,3,-22,10.5
2023-11-25 11:43,-3,5,-23,10.5
2023-11-25 11:43,-5,4,-22,10.5
2023-11-25 11:43,-6,4,-28,10.5
2023-11-25 11:44,-3,4,-22,10.5
2023-11-25 11:44,-5,4,-22,10.5
2023-11-25 11:44,-5,4,-23,10.5
2023-11-25 11:44,-6,3,-22,10.5
2023-11-25 11:44,-2,4,-23,10.5
2023-11-25 11:44,-3,3,-22,10
2023-11-25 11:44,-4,2,-23,10
2023-11-25 11:44,-7,5,-22,10
2023-11-25 11:44,0,4,-21,10
2023-11-25 11:44,-2,2,-23,10
2023-11-25 11:44,-7,4,-22,10
2023-11-25 11:44,-2,4,-23,10
2023-11-25 11:44,-5,5,-20,10
2023-11-25 11:44,-4,3,-22,10
2023-11-25 11:44,0,2,-23,10
2023-11-25 11:44,-1,2,-22,10
2023-11-25 11:44,-3,3,-23,10
2023-11-25 11:44,0,9,-23,10
2023-11-25 11:44,-2,3,-22,10
2023-11-25 11:44,-1,3,-22,10
2023-11-25 11:44,-4,4,-23,10
2023-11-25 11:44,-3,4,-22,10
2023-11-25 11:44,-4,3,-23,10
2023-11-25 11:44,-2,1,-23,10
2023-11-25 11:44,-4,4,-22,10
2023-11-25 11:44,-5,3,-22,10
2023-11-25 11:44,-6,4,-22,10
2023-11-25 11:44,-4,4,-23,10
2023-11-25 11:44,-6,4,-22,10
2023-11-25 11:44,-3,2,-22,10
2023-11-25 11:45,-4,0,-23,10
2023-11-25 11:45,-5,1,-22,10
2023-11-25 11:45,-6,1,-22,10
2023-11-25 11:45,-4,3,-22,10
2023-11-25 11:45,-3,2,-22,10
2023-11-25 11:45,-6,5,-22,10.5
2023-11-25 11:45,-6,2,-22,10.5
2023-11-25 11:45,-5,2,-22,10.5
2023-11-25 11:45,-2,1,-22,10.5
2023-11-25 11:45,-4,0,-23,10.5
2023-11-25 11:45,-7,1,-25,10.5
2023-11-25 11:45,-2,1,-22,10.5
