Start,Stop,Proximity ID,Session,RSSI
2020-06-19 13:34,2020-06-19 13:34,30385,3,48
2020-06-19 13:36,2020-06-19 13:37,30385,58,-38
2020-06-19 13:36,2020-06-19 13:38,30387,112,-43
2020-06-19 13:35,2020-06-19 13:41,30379,355,-74
2020-06-19 13:43,2020-06-19 13:43,30387,24,5
2020-06-19 13:43,2020-06-19 13:45,30379,158,-67
2020-06-19 13:47,2020-06-19 13:48,30387,42,-54
2020-06-19 13:47,2020-06-19 13:50,30379,218,-71
2020-06-19 13:51,2020-06-19 13:52,30387,73,-64
2020-06-19 13:54,2020-06-19 13:54,30387,0,-84
2020-06-19 13:56,2020-06-19 13:58,30387,121,-52
2020-06-19 14:01,2020-06-19 14:01,30387,0,-84
2020-06-19 14:03,2020-06-19 14:03,30387,24,-41
2020-06-19 14:43,2020-06-19 14:45,30388,104,-67
2020-06-19 14:46,2020-06-19 14:46,30387,0,-78
2020-06-19 15:01,2020-06-19 15:01,30385,0,-78
2020-06-19 15:01,2020-06-19 15:01,30390,12,1
2020-06-19 15:02,2020-06-19 15:03,30387,75,-67
2020-06-19 15:02,2020-06-19 15:02,30386,3,46
2020-06-19 15:03,2020-06-19 15:03,30385,0,-84
2020-06-19 15:04,2020-06-19 15:04,30387,0,-84
2020-06-19 15:05,2020-06-19 15:09,30386,205,-70
2020-06-19 15:10,2020-06-19 15:12,30389,103,2
2020-06-19 15:13,2020-06-19 15:14,30385,54,8
